Sıra No,İstasyon No,İstasyon Adı,Hizmet Şekli,Marka,Şarj Ağı İşletmecisi,Şarj İstasyonu İşletmecisi,Yeşil Şarj İstasyonu mu,Adres,Soket No,Soket Tipi,Soket Türü,Soket Gücü (kW)
1.0,ŞRJ/20759,Gordion Park Florya,OZEL,wat mobilite,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ, ,Fırat Mahallesi Kayapınar / DİYARBAKIR,SKT/59831,AC,AC_TYPE2,22
1.0,ŞRJ/20759,Gordion Park Florya,OZEL,wat mobilite,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ, ,Fırat Mahallesi Kayapınar / DİYARBAKIR,SKT/59832,AC,AC_TYPE2,22
2.0,ŞRJ/17310,Opet Beykoz Petrol,HALKA_ACIK,wat mobilite,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ, ,Gökçeyurt Mahallesi Samsun Devlet Yolu Sokağı Mamak / ANKARA,SKT/47334,DC,DC_CCS,180
2.0,ŞRJ/17310,Opet Beykoz Petrol,HALKA_ACIK,wat mobilite,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ, ,Gökçeyurt Mahallesi Samsun Devlet Yolu Sokağı Mamak / ANKARA,SKT/47335,DC,DC_CCS,180
3.0,ŞRJ/20774,Toki Kusunlar,HALKA_ACIK,wat mobilite,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ, ,Zirvekent Mahallesi Osmanlı Caddesi  No:53/6  Kusunlar Toki Sitesi Mamak / ANKARA,SKT/59957,AC,AC_TYPE2,11
3.0,ŞRJ/20774,Toki Kusunlar,HALKA_ACIK,wat mobilite,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ, ,Zirvekent Mahallesi Osmanlı Caddesi  No:53/6  Kusunlar Toki Sitesi Mamak / ANKARA,SKT/59958,AC,AC_TYPE2,11
3.0,ŞRJ/20774,Toki Kusunlar,HALKA_ACIK,wat mobilite,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ, ,Zirvekent Mahallesi Osmanlı Caddesi  No:53/6  Kusunlar Toki Sitesi Mamak / ANKARA,SKT/59959,AC,AC_TYPE2,11
3.0,ŞRJ/20774,Toki Kusunlar,HALKA_ACIK,wat mobilite,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ, ,Zirvekent Mahallesi Osmanlı Caddesi  No:53/6  Kusunlar Toki Sitesi Mamak / ANKARA,SKT/59960,AC,AC_TYPE2,11
3.0,ŞRJ/20774,Toki Kusunlar,HALKA_ACIK,wat mobilite,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ, ,Zirvekent Mahallesi Osmanlı Caddesi  No:53/6  Kusunlar Toki Sitesi Mamak / ANKARA,SKT/59961,AC,AC_TYPE2,11
3.0,ŞRJ/20774,Toki Kusunlar,HALKA_ACIK,wat mobilite,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ, ,Zirvekent Mahallesi Osmanlı Caddesi  No:53/6  Kusunlar Toki Sitesi Mamak / ANKARA,SKT/59962,AC,AC_TYPE2,11
4.0,ŞRJ/20806,Delka Otomotiv,HALKA_ACIK,wat mobilite,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ, ,Eskihisar Mahallesi 1287 Sokağı  No:37/1 Merkezefendi / DENİZLİ,SKT/60100,DC,DC_CCS,180
4.0,ŞRJ/20806,Delka Otomotiv,HALKA_ACIK,wat mobilite,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ, ,Eskihisar Mahallesi 1287 Sokağı  No:37/1 Merkezefendi / DENİZLİ,SKT/60101,DC,DC_CCS,180
5.0,ŞRJ/20852,US POWER YALIKAVAK,HALKA_ACIK,wat mobilite,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ, ,Yalıkavak Mahallesi Ömer Efendi Caddesi Bodrum / MUĞLA,SKT/60311,DC,DC_CCS,90
5.0,ŞRJ/20852,US POWER YALIKAVAK,HALKA_ACIK,wat mobilite,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ, ,Yalıkavak Mahallesi Ömer Efendi Caddesi Bodrum / MUĞLA,SKT/60312,DC,DC_CCS,90
6.0,ŞRJ/20858,Lusso Sorgun Otel,HALKA_ACIK,wat mobilite,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ, ,Sorgun Mahallesi  Acısu Mevkii Manavgat / ANTALYA,SKT/60365,AC,AC_TYPE2,22
6.0,ŞRJ/20858,Lusso Sorgun Otel,HALKA_ACIK,wat mobilite,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ, ,Sorgun Mahallesi  Acısu Mevkii Manavgat / ANTALYA,SKT/60366,AC,AC_TYPE2,22
7.0,ŞRJ/20865,Maslak Aynalı Çarşı,HALKA_ACIK,wat mobilite,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ, ,Maslak Mahallesi Söğüt Sokağı  No:20 Sarıyer / İSTANBUL,SKT/60376,DC,DC_CCS,180
7.0,ŞRJ/20865,Maslak Aynalı Çarşı,HALKA_ACIK,wat mobilite,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ, ,Maslak Mahallesi Söğüt Sokağı  No:20 Sarıyer / İSTANBUL,SKT/60377,DC,DC_CCS,180
7.0,ŞRJ/20865,Maslak Aynalı Çarşı,HALKA_ACIK,wat mobilite,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ, ,Maslak Mahallesi Söğüt Sokağı  No:20 Sarıyer / İSTANBUL,SKT/60378,DC,DC_CCS,180
7.0,ŞRJ/20865,Maslak Aynalı Çarşı,HALKA_ACIK,wat mobilite,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ, ,Maslak Mahallesi Söğüt Sokağı  No:20 Sarıyer / İSTANBUL,SKT/60379,DC,DC_CCS,180
