Sıra No,İstasyon No,İstasyon Adı,Hizmet Şekli,Marka,Şarj Ağı İşletmecisi,Şarj İstasyonu İşletmecisi,Yeşil Şarj İstasyonu mu,Adres,Soket No,Soket Tipi,Soket Türü,Soket Gücü (kW),Latitude,Longitude
476.0,ŞRJ/12762,Kalafatlar Orsan,HALKA_ACIK,wat mobilite,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ, , şahincili Mahallesi 633 Sokağı  No:1 Merkez / ORDU,SKT/32863,DC,DC_CCS,120.0,,
476.0,ŞRJ/12762,Kalafatlar Orsan,HALKA_ACIK,wat mobilite,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ, , şahincili Mahallesi 633 Sokağı  No:1 Merkez / ORDU,SKT/32864,DC,DC_CCS,120.0,,
43.0,ŞRJ/4067,AĞAOĞLU MY WORLD STARLAND,OZEL,ESTASYON,İSTASYON ŞARJ HİZMETLERİ ANONİM ŞİRKETİ,İSTASYON ŞARJ HİZMETLERİ ANONİM ŞİRKETİ, ,"Barbaros Mahallesi Dereboyu Caddesi Gül Sokağı  No:1 ( Ada: - , Pafta: - , Parsel: - )",SKT/8326,AC,AC_TYPE2,22.0,,
43.0,ŞRJ/4067,AĞAOĞLU MY WORLD STARLAND,OZEL,ESTASYON,İSTASYON ŞARJ HİZMETLERİ ANONİM ŞİRKETİ,İSTASYON ŞARJ HİZMETLERİ ANONİM ŞİRKETİ, ,"Barbaros Mahallesi Dereboyu Caddesi Gül Sokağı  No:1 ( Ada: - , Pafta: - , Parsel: - )",SKT/8327,AC,AC_TYPE2,22.0,,
43.0,ŞRJ/4067,AĞAOĞLU MY WORLD STARLAND,OZEL,ESTASYON,İSTASYON ŞARJ HİZMETLERİ ANONİM ŞİRKETİ,İSTASYON ŞARJ HİZMETLERİ ANONİM ŞİRKETİ, ,"Barbaros Mahallesi Dereboyu Caddesi Gül Sokağı  No:1 ( Ada: - , Pafta: - , Parsel: - )",SKT/8328,AC,AC_TYPE2,22.0,,
325.0,ŞRJ/15355,AKM Charge Artvin/Arhavi 22kW - 2AC,HALKA_ACIK,akmcharge,AKMERCAN ELEKTRİK DOĞAL GAZ YATIRIMLARI ANONİM ŞİRKETİ,AKMERCAN ELEKTRİK DOĞAL GAZ YATIRIMLARI ANONİM ŞİRKETİ, ,Boğaziçi Mahallesi Cengiz Kurdoğdu Sokağı  No:Ç 9  Arhavi Rms-a İstasyonu Arhavi / ARTVİN,SKT/40955,AC,AC_TYPE2,22.0,,
325.0,ŞRJ/15355,AKM Charge Artvin/Arhavi 22kW - 2AC,HALKA_ACIK,akmcharge,AKMERCAN ELEKTRİK DOĞAL GAZ YATIRIMLARI ANONİM ŞİRKETİ,AKMERCAN ELEKTRİK DOĞAL GAZ YATIRIMLARI ANONİM ŞİRKETİ, ,Boğaziçi Mahallesi Cengiz Kurdoğdu Sokağı  No:Ç 9  Arhavi Rms-a İstasyonu Arhavi / ARTVİN,SKT/40956,AC,AC_TYPE2,22.0,,
330.0,ŞRJ/15191,AKM Charge - Samsun Bafra - AC22+DC120,HALKA_ACIK,akmcharge,AKMERCAN ELEKTRİK DOĞAL GAZ YATIRIMLARI ANONİM ŞİRKETİ,AKMERCAN ELEKTRİK DOĞAL GAZ YATIRIMLARI ANONİM ŞİRKETİ, ,Koğa Mahallesi Samsun Caddesi  No:162  Akmercan Delta Bölge Müdürlük Binası Bafra / SAMSUN,SKT/40442,DC,DC_CCS,120.0,,
330.0,ŞRJ/15191,AKM Charge - Samsun Bafra - AC22+DC120,HALKA_ACIK,akmcharge,AKMERCAN ELEKTRİK DOĞAL GAZ YATIRIMLARI ANONİM ŞİRKETİ,AKMERCAN ELEKTRİK DOĞAL GAZ YATIRIMLARI ANONİM ŞİRKETİ, ,Koğa Mahallesi Samsun Caddesi  No:162  Akmercan Delta Bölge Müdürlük Binası Bafra / SAMSUN,SKT/40443,DC,DC_CCS,120.0,,
330.0,ŞRJ/15191,AKM Charge - Samsun Bafra - AC22+DC120,HALKA_ACIK,akmcharge,AKMERCAN ELEKTRİK DOĞAL GAZ YATIRIMLARI ANONİM ŞİRKETİ,AKMERCAN ELEKTRİK DOĞAL GAZ YATIRIMLARI ANONİM ŞİRKETİ, ,Koğa Mahallesi Samsun Caddesi  No:162  Akmercan Delta Bölge Müdürlük Binası Bafra / SAMSUN,SKT/40903,AC,AC_TYPE2,22.0,,
