name,href,range_km,one_stop_range_km,efficiency_wh_per_km,battery_kwh,fastcharge_kw,acceleration_0_100_sec,towing_kg,cargo_l,weight_kg,raw_text,page_url
Tesla Model 3 RWD (Highland) Available,https://ev-database.org/car/3403/Tesla-Model-3-RWD,445.0,523.0,135.0,60.0,110.0,6.2,1000.0,682.0,1847.0,"Tesla Model 3 RWD (Highland) Available to order since December 2025 D 5 V2 L H G Range* 445 km Efficiency* 135 Wh/km Weight 1,847 kg 0-100 6.2 sec 1-Stop Range 523 km Battery* 60.0 kWh Fastcharge 110 kW Towing 1,000 kg Cargo Vol. 682 L Price/range* €89 /km €37,970 €36,990 £37,990",https://ev-database.org/#group=vehicle-group&rs-pr=10000_100000&rs-er=0_1000&rs-ld=0_1000&rs-ac=2_23&rs-dcfc=0_400&rs-ub=10_200&rs-tw=0_3000&rs-ef=100_350&rs-sa=-1_5&rs-w=1000_3500&rs-c=0_5000&rs-y=2010_2030&s=1&p=0-50
BMW iX3 50 xDrive (MY26) Available,https://ev-database.org/car/3290/BMW-iX3-50-xDrive,635.0,770.0,171.0,108.7,230.0,4.9,2000.0,578.0,2360.0,"BMW iX3 50 xDrive (MY26) Available to order since September 2025 D 5 V2 L H G Range 635 km Efficiency 171 Wh/km Weight 2,360 kg 0-100 4.9 sec 1-Stop Range 770 km Battery 108.7 kWh Fastcharge 230 kW Towing 2,000 kg Cargo Vol. 578 L Price/range €110 /km €70,900 €70,501 £58,755",https://ev-database.org/#group=vehicle-group&rs-pr=10000_100000&rs-er=0_1000&rs-ld=0_1000&rs-ac=2_23&rs-dcfc=0_400&rs-ub=10_200&rs-tw=0_3000&rs-ef=100_350&rs-sa=-1_5&rs-w=1000_3500&rs-c=0_5000&rs-y=2010_2030&s=1&p=0-50
MG MG4 Electric 64 kWh (MY22-25),https://ev-database.org/car/1708/MG-MG4-Electric-64-kWh,360.0,401.0,171.0,61.7,107.0,7.9,500.0,363.0,1726.0,"MG MG4 Electric 64 kWh (MY22-25) Discontinued (October 2022 - February 2026) C 5 5 V2 L H G Range 360 km Efficiency 171 Wh/km Weight 1,726 kg 0-100 7.9 sec 1-Stop Range 401 km Battery 61.7 kWh Fastcharge 107 kW Towing 500 kg Cargo Vol. 363 L Price/range €103 /km €39,990 €37,570 £29,745",https://ev-database.org/#group=vehicle-group&rs-pr=10000_100000&rs-er=0_1000&rs-ld=0_1000&rs-ac=2_23&rs-dcfc=0_400&rs-ub=10_200&rs-tw=0_3000&rs-ef=100_350&rs-sa=-1_5&rs-w=1000_3500&rs-c=0_5000&rs-y=2010_2030&s=1&p=0-50
BMW iX xDrive40 Discontinued (October 2021,https://ev-database.org/car/1472/BMW-iX-xDrive40,360.0,382.0,197.0,71.0,92.0,6.1,2500.0,500.0,2440.0,"BMW iX xDrive40 Discontinued (October 2021 - January 2025) E 5 5 V2 L H G Range 360 km Efficiency 197 Wh/km Weight 2,440 kg 0-100 6.1 sec 1-Stop Range 382 km Battery 71.0 kWh Fastcharge 92 kW Towing 2,500 kg Cargo Vol. 500 L Price/range €225 /km €77,300 €84,998 £69,905",https://ev-database.org/#group=vehicle-group&rs-pr=10000_100000&rs-er=0_1000&rs-ld=0_1000&rs-ac=2_23&rs-dcfc=0_400&rs-ub=10_200&rs-tw=0_3000&rs-ef=100_350&rs-sa=-1_5&rs-w=1000_3500&rs-c=0_5000&rs-y=2010_2030&s=1&p=0-50
Hyundai IONIQ 3 61 kWh (MY27),https://ev-database.org/car/3555/Hyundai-IONIQ-3-61-kWh,375.0,399.0,155.0,58.0,85.0,9.6,,441.0,1580.0,"Hyundai IONIQ 3 61 kWh (MY27) Available to order from July 2026* B 5 V2 L H G Range* 375 km Efficiency* 155 Wh/km Weight 1,580 kg 0-100 9.6 sec 1-Stop Range 399 km Battery* 58.0 kWh Fastcharge 85 kW Towing unknown Cargo Vol. 441 L Price/range* €91 /km * €34,000 * €34,000 * £30,000",https://ev-database.org/#group=vehicle-group&rs-pr=10000_100000&rs-er=0_1000&rs-ld=0_1000&rs-ac=2_23&rs-dcfc=0_400&rs-ub=10_200&rs-tw=0_3000&rs-ef=100_350&rs-sa=-1_5&rs-w=1000_3500&rs-c=0_5000&rs-y=2010_2030&s=1&p=0-50
Fiat 500e Hatchback 42 kWh Available,https://ev-database.org/car/1285/Fiat-500e-Hatchback-42-kWh,235.0,260.0,159.0,37.3,65.0,9.0,0.0,185.0,1365.0,"Fiat 500e Hatchback 42 kWh Available to order since November 2020 B 4 4 V2 L H G Range 235 km Efficiency 159 Wh/km Weight 1,365 kg 0-100 9.0 sec 1-Stop Range 260 km Battery 37.3 kWh Fastcharge 65 kW Towing 0 kg Cargo Vol. 185 L Price/range €128 /km €34,990 €27,999 £23,995",https://ev-database.org/#group=vehicle-group&rs-pr=10000_100000&rs-er=0_1000&rs-ld=0_1000&rs-ac=2_23&rs-dcfc=0_400&rs-ub=10_200&rs-tw=0_3000&rs-ef=100_350&rs-sa=-1_5&rs-w=1000_3500&rs-c=0_5000&rs-y=2010_2030&s=1&p=0-50
CUPRA Born 150 kW - 58,https://ev-database.org/car/1516/CUPRA-Born-150-kW---58-kWh,350.0,369.0,166.0,58.0,75.0,7.3,0.0,385.0,1811.0,"CUPRA Born 150 kW - 58 kWh (MY22-24) Discontinued (October 2021 - July 2024) C 5 5 V2 L H G Range* 350 km Efficiency* 166 Wh/km Weight 1,811 kg 0-100 7.3 sec 1-Stop Range 369 km Battery 58.0 kWh Fastcharge 75 kW Towing 0 kg Cargo Vol. 385 L Price/range* €110 /km €39,370 €36,939 £34,125",https://ev-database.org/#group=vehicle-group&rs-pr=10000_100000&rs-er=0_1000&rs-ld=0_1000&rs-ac=2_23&rs-dcfc=0_400&rs-ub=10_200&rs-tw=0_3000&rs-ef=100_350&rs-sa=-1_5&rs-w=1000_3500&rs-c=0_5000&rs-y=2010_2030&s=1&p=0-50
Mercedes-Benz CLA 250+ Available to order,https://ev-database.org/car/3139/Mercedes-Benz-CLA-250plus,585.0,746.0,145.0,85.0,208.0,6.7,1500.0,506.0,2055.0,"Mercedes-Benz CLA 250+ Available to order since May 2025 D 5 V2 L H G Range* 585 km Efficiency* 145 Wh/km Weight 2,055 kg 0-100 6.7 sec 1-Stop Range 746 km Battery 85.0 kWh Fastcharge 208 kW Towing 1,500 kg Cargo Vol. 506 L Price/range* €92 /km €55,728 €53,554 £45,615",https://ev-database.org/#group=vehicle-group&rs-pr=10000_100000&rs-er=0_1000&rs-ld=0_1000&rs-ac=2_23&rs-dcfc=0_400&rs-ub=10_200&rs-tw=0_3000&rs-ef=100_350&rs-sa=-1_5&rs-w=1000_3500&rs-c=0_5000&rs-y=2010_2030&s=1&p=0-50
Tesla Model Y Long Range AWD,https://ev-database.org/car/3104/Tesla-Model-Y-Long-Range-AWD,455.0,535.0,165.0,75.0,124.0,4.8,1600.0,971.0,2072.0,"Tesla Model Y Long Range AWD (Juniper) Discontinued (February 2025 - October 2025) D 5 5 V2 L H G Range* 455 km Efficiency* 165 Wh/km Weight 2,072 kg 0-100 4.8 sec 1-Stop Range 535 km Battery* 75.0 kWh Fastcharge 124 kW Towing 1,600 kg Cargo Vol. 971 L Price/range* €122 /km €52,990 €53,990 £51,990",https://ev-database.org/#group=vehicle-group&rs-pr=10000_100000&rs-er=0_1000&rs-ld=0_1000&rs-ac=2_23&rs-dcfc=0_400&rs-ub=10_200&rs-tw=0_3000&rs-ef=100_350&rs-sa=-1_5&rs-w=1000_3500&rs-c=0_5000&rs-y=2010_2030&s=1&p=0-50
Kia EV3 Long Range Available to,https://ev-database.org/car/2212/Kia-EV3-Long-Range,455.0,472.0,171.0,78.0,105.0,7.7,1000.0,485.0,1885.0,"Kia EV3 Long Range Available to order since July 2024 B 5 5 V2 L H G Range 455 km Efficiency 171 Wh/km Weight 1,885 kg 0-100 7.7 sec 1-Stop Range 472 km Battery* 78.0 kWh Fastcharge 105 kW Towing 1,000 kg Cargo Vol. 485 L Price/range €90 /km €41,390 €41,495 £34,555",https://ev-database.org/#group=vehicle-group&rs-pr=10000_100000&rs-er=0_1000&rs-ld=0_1000&rs-ac=2_23&rs-dcfc=0_400&rs-ub=10_200&rs-tw=0_3000&rs-ef=100_350&rs-sa=-1_5&rs-w=1000_3500&rs-c=0_5000&rs-y=2010_2030&s=1&p=0-50
